mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.840419968,-3.914317723,-0.0738976,-0.07376336,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.850476884,-3.914317723,-0.06384063,-0.06375403,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.862617284,-3.914317723,-0.051700354,-0.05165434,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.913051722,-3.914317723,-0.0012660027,-0.0012660314,O
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.798885865,-3.914317723,-0.115431786,-0.11492181,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.831982424,-3.914317723,-0.08233523,-0.08214966,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.845580708,-3.914317723,-0.06873679,-0.06862875,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.550782589,-3.914317723,-0.36353493,-0.34832385,CC12CCC(CC1=O)C2(C)C
c1ccc(cc1)CCC(=O)O,OCC,-4.081906469,-4.054589908,0.02731657,0.027309747,c
c1ccc(cc1)CCC(=O)O,OCC,-4.084383233,-4.054589908,0.029793262,0.029784424,c
c1ccc(cc1)CCC(=O)O,OCC,-4.076758151,-4.054589908,0.022168636,0.022165036,c
c1ccc(cc1)CCC(=O)O,OCC,-3.946281489,-4.054589908,-0.108308315,-0.1078868,c
c1ccc(cc1)CCC(=O)O,OCC,-4.076758151,-4.054589908,0.022168636,0.022165036,c
c1ccc(cc1)CCC(=O)O,OCC,-4.084383233,-4.054589908,0.029793262,0.029784424,c
c1ccc(cc1)CCC(=O)O,OCC,-3.941331396,-4.054589908,-0.11325836,-0.11277653,C
c1ccc(cc1)CCC(=O)O,OCC,-3.885914092,-4.054589908,-0.16867566,-0.16709396,C
c1ccc(cc1)CCC(=O)O,OCC,-3.873819152,-4.054589908,-0.18077064,-0.17882696,C
c1ccc(cc1)CCC(=O)O,OCC,-3.968664608,-4.054589908,-0.0859251,-0.08571423,O
c1ccc(cc1)CCC(=O)O,OCC,-4.080417662,-4.054589908,0.025827885,0.025822133,O
c1ccc(cc1)CCC(=O)O,OCC,-4.094075678,-4.054589908,0.03948593,0.039465386,c1ccccc1
c1ccc(cc1)CCC(=O)O,OCC,-3.617754338,-4.054589908,-0.43683553,-0.41101798,CCC(=O)O
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681,0.005243778,0.005243765,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.64397035,-3.39586681,0.24810338,0.24313498,[N+]
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681,0.005243778,0.005243765,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681,0.005243778,0.005243765,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.39586681,-3.39586681,0.0,0.0,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.475299292,-3.39586681,0.07943249,0.079265855,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.384290957,-3.39586681,-0.011575937,-0.0115754,C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.671174055,-3.39586681,0.27530718,0.26855624,C[N+](C)C
C[N+](C)(C)CC=C.[Cl-],OCC,-3.477478718,-3.39586681,0.08161187,0.08143116,C=CC
C(CO)N ,OCC,-4.877552529,-5.382592811,-0.50504017,-0.46607175,C
C(CO)N ,OCC,-4.993894376,-5.382592811,-0.3886981,-0.37023735,C
C(CO)N ,OCC,-5.197654822,-5.382592811,-0.18493795,-0.18285802,O
C(CO)N ,OCC,-5.4065472,-5.382592811,0.023954391,0.023949815,N
C(CO)N ,OCC,-4.332737859,-5.382592811,-1.0498548,-0.78174984,NCCO
CCNC=O,OCC,-4.705568987,-5.07651512,-0.3709464,-0.3548192,C
CCNC=O,OCC,-4.803172953,-5.07651512,-0.27334213,-0.26673195,C
CCNC=O,OCC,-5.070534782,-5.07651512,-0.0059804916,-0.0059804143,N
CCNC=O,OCC,-4.888365081,-5.07651512,-0.18814993,-0.18596072,C
CCNC=O,OCC,-4.926760082,-5.07651512,-0.149755,-0.14864548,O
CCNC=O,OCC,-4.486686825,-5.07651512,-0.5898285,-0.5297722,CC
CCNC=O,OCC,-4.812700474,-5.07651512,-0.26381493,-0.25786027,NC=O
CCCCCCCCCCC(=O)O,OCC,-3.910947622,-3.821102475,0.08984518,0.08960419,C
CCCCCCCCCCC(=O)O,OCC,-3.791565786,-3.821102475,-0.029536486,-0.029527867,C
CCCCCCCCCCC(=O)O,OCC,-3.813608486,-3.821102475,-0.007493973,-0.0074938214,C
CCCCCCCCCCC(=O)O,OCC,-3.80927025,-3.821102475,-0.011832237,-0.011831705,C
CCCCCCCCCCC(=O)O,OCC,-3.80927025,-3.821102475,-0.011832237,-0.011831705,C
CCCCCCCCCCC(=O)O,OCC,-3.787310012,-3.821102475,-0.033792257,-0.033779405,C
CCCCCCCCCCC(=O)O,OCC,-3.856782576,-3.821102475,0.035680294,0.035665162,C
CCCCCCCCCCC(=O)O,OCC,-3.745465884,-3.821102475,-0.07563639,-0.07549249,C
CCCCCCCCCCC(=O)O,OCC,-3.754862311,-3.821102475,-0.06624007,-0.06614337,C
CCCCCCCCCCC(=O)O,OCC,-3.718261914,-3.821102475,-0.10284042,-0.10247937,C
CCCCCCCCCCC(=O)O,OCC,-3.713018183,-3.821102475,-0.1080842,-0.10766529,C
CCCCCCCCCCC(=O)O,OCC,-3.816090272,-3.821102475,-0.0050120354,-0.0050120316,O
CCCCCCCCCCC(=O)O,OCC,-3.845427678,-3.821102475,0.02432537,0.02432056,O
CCCCCCCCCCC(=O)O,OCC,-3.438698895,-3.821102475,-0.38240337,-0.36479285,CCCCCCCCCCC(=O)O
CC(=O)C(=O)O,OCC,-4.994579972,-5.608134036,-0.6135545,-0.54662436,C
CC(=O)C(=O)O,OCC,-4.952967901,-5.608134036,-0.65516615,-0.57513756,C
CC(=O)C(=O)O,OCC,-5.180132197,-5.608134036,-0.42800188,-0.4036501,O
CC(=O)C(=O)O,OCC,-5.008898212,-5.608134036,-0.599236,-0.5365057,C
CC(=O)C(=O)O,OCC,-5.058209636,-5.608134036,-0.54992485,-0.50046384,O
CC(=O)C(=O)O,OCC,-5.674158001,-5.608134036,0.06602383,0.065928064,O
CC(=O)C(=O)O,OCC,-4.194817689,-5.608134036,-1.4133167,-0.8881964,CC(=O)C(=O)O
C=CCCCCCCCCC(=O)O,OCC,-4.041234252,-4.087943367,-0.046709538,-0.0466756,C
C=CCCCCCCCCC(=O)O,OCC,-4.044959574,-4.087943367,-0.04298401,-0.042957578,C
C=CCCCCCCCCC(=O)O,OCC,-4.041168176,-4.087943367,-0.04677534,-0.046741273,C
C=CCCCCCCCCC(=O)O,OCC,-4.059440623,-4.087943367,-0.028502941,-0.02849521,C
C=CCCCCCCCCC(=O)O,OCC,-4.039761831,-4.087943367,-0.048181534,-0.048144266,C
C=CCCCCCCCCC(=O)O,OCC,-4.031086681,-4.087943367,-0.05685711,-0.056795947,C
C=CCCCCCCCCC(=O)O,OCC,-4.105062669,-4.087943367,0.01711893,0.017117258,C
C=CCCCCCCCCC(=O)O,OCC,-3.978261641,-4.087943367,-0.109681845,-0.109244116,C
C=CCCCCCCCCC(=O)O,OCC,-4.000611723,-4.087943367,-0.08733177,-0.087110415,C
C=CCCCCCCCCC(=O)O,OCC,-3.95861615,-4.087943367,-0.1293273,-0.1286111,C
C=CCCCCCCCCC(=O)O,OCC,-3.954840875,-4.087943367,-0.13310266,-0.13232216,C
C=CCCCCCCCCC(=O)O,OCC,-4.069505732,-4.087943367,-0.018437862,-0.0184358,O
C=CCCCCCCCCC(=O)O,OCC,-4.108688878,-4.087943367,0.020745277,0.020742334,O
C=CCCCCCCCCC(=O)O,OCC,-3.472234987,-4.087943367,-0.6157086,-0.548133,C=CCCCCCCCCC(=O)O
CC1=CCC(CC1)C(C)(C)O,OCC,-4.492565407,-4.672814433,-0.18024874,-0.17832172,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.554828899,-4.672814433,-0.11798525,-0.11744082,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.532705058,-4.672814433,-0.14010954,-0.13919987,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.475352014,-4.672814433,-0.19746256,-0.19493555,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.465767404,-4.672814433,-0.20704699,-0.20413826,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.482866619,-4.672814433,-0.1899476,-0.18769564,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.47299445,-4.672814433,-0.19982004,-0.19720235,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.482755877,-4.672814433,-0.19005871,-0.18780282,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.400390976,-4.672814433,-0.27242327,-0.2658782,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.400390976,-4.672814433,-0.27242327,-0.2658782,C
CC1=CCC(CC1)C(C)(C)O,OCC,-4.7055415,-4.672814433,0.03272724,0.03271556,O
CC1=CCC(CC1)C(C)(C)O,OCC,-3.953583331,-4.672814433,-0.7192311,-0.61643285,CC1=CCCCC1
CC1=CCC(CC1)C(C)(C)O,OCC,-4.096321179,-4.672814433,-0.57649326,-0.520112,CC(C)O
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.390562416,-4.552158138,-0.16159582,-0.16020377,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.461705891,-4.552158138,-0.09045267,-0.09020678,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.385711701,-4.552158138,-0.16644669,-0.16492644,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.417609126,-4.552158138,-0.13454914,-0.13374306,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.439810671,-4.552158138,-0.1123476,-0.111877285,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.356191662,-4.552158138,-0.19596672,-0.19349611,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.362257898,-4.552158138,-0.1899004,-0.18765013,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.568579685,-4.552158138,0.016421318,0.016419819,O
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.480945151,-4.552158138,-0.071213245,-0.07109313,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.408900938,-4.552158138,-0.14325762,-0.14228559,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.408900938,-4.552158138,-0.14325762,-0.14228559,C
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-4.206135321,-4.552158138,-0.34602308,-0.3328439,CCC
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,OCC,-3.720338263,-4.552158138,-0.83182,-0.68145204,C[C@@H]1CCC[C@H](O)C1
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.070515224,-5.244057349,-0.17354202,-0.17182057,c
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.076521728,-5.244057349,-0.1675353,-0.16598521,c
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.174917539,-5.244057349,-0.06913948,-0.069029525,[nH3]
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.066115142,-5.244057349,-0.1779418,-0.17608722,c
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.222641835,-5.244057349,-0.021415234,-0.021411931,n
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.093842691,-5.244057349,-0.15021467,-0.14909492,C
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.10908017,-5.244057349,-0.13497686,-0.13416307,C
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.116222375,-5.244057349,-0.1278348,-0.12714298,C
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.161433433,-5.244057349,-0.08262396,-0.082436405,O
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.193710395,-5.244057349,-0.05034685,-0.05030433,O
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-5.224849276,-5.244057349,-0.019207954,-0.019205574,N
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-4.776451333,-5.244057349,-0.46760607,-0.43626308,c1c[nH]cn1
C1=C(NC=N1)C[C@@H](C(=O)O)N ,OCC,-4.703026147,-5.244057349,-0.5410309,-0.4937679,C[C@H](N)C(=O)O
CCCCCCCCCCCCCCO  ,OCC,-3.827102635,-3.806205944,0.020896673,0.0208936,C
CCCCCCCCCCCCCCO  ,OCC,-3.84204119,-3.806205944,0.035835266,0.03581992,C
CCCCCCCCCCCCCCO  ,OCC,-3.863865577,-3.806205944,0.057659626,0.05759578,C
CCCCCCCCCCCCCCO  ,OCC,-3.873959495,-3.806205944,0.06775355,0.06765005,C
CCCCCCCCCCCCCCO  ,OCC,-3.533078125,-3.806205944,-0.2731278,-0.26653287,C
CCCCCCCCCCCCCCO  ,OCC,-3.688878519,-3.806205944,-0.11732745,-0.116792046,C
CCCCCCCCCCCCCCO  ,OCC,-3.740222152,-3.806205944,-0.06598377,-0.06588818,C
CCCCCCCCCCCCCCO  ,OCC,-3.705698104,-3.806205944,-0.100507975,-0.100170895,C
CCCCCCCCCCCCCCO  ,OCC,-3.702633799,-3.806205944,-0.10357213,-0.10320335,C
CCCCCCCCCCCCCCO  ,OCC,-3.727658342,-3.806205944,-0.078547716,-0.078386575,C
CCCCCCCCCCCCCCO  ,OCC,-3.717273957,-3.806205944,-0.08893204,-0.08869833,C
CCCCCCCCCCCCCCO  ,OCC,-3.715197609,-3.806205944,-0.091008425,-0.09075801,C
CCCCCCCCCCCCCCO  ,OCC,-3.683737866,-3.806205944,-0.12246823,-0.1218596,C
CCCCCCCCCCCCCCO  ,OCC,-3.541283084,-3.806205944,-0.26492286,-0.25889426,C
CCCCCCCCCCCCCCO  ,OCC,-3.779001975,-3.806205944,-0.027204037,-0.02719731,O
CCCCCCCCCCCCCCO  ,OCC,-3.049434856,-3.806205944,-0.7567711,-0.6391711,CCCCCCCCCCCCCCO
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.163391386,-3.16764716,-0.0042557716,-0.004255733,C
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.185351624,-3.16764716,0.017704487,0.017702607,C
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.191786824,-3.16764716,0.024139643,0.024134966,C
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.191786824,-3.16764716,0.024139643,0.024134966,C
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.190595355,-3.16764716,0.022948265,0.02294425,n
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.111162873,-3.16764716,-0.056484222,-0.0564242,c
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.108983448,-3.16764716,-0.058663607,-0.058596432,c
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.18753105,-3.16764716,0.019883871,0.019881222,[n+]
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.112047753,-3.16764716,-0.05559945,-0.055542246,c
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.145686922,-3.16764716,-0.021960258,-0.021956751,C
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.229375178,-3.16764716,0.061728,0.06164973,CCCC
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.025295192,-3.16764716,-0.14235187,-0.14139804,C[n+]1ccnc1
c1ccc2c(c1)ccc(=O)o2,OCC,-4.16536399,-4.170512309,-0.005148411,-0.005148343,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.130989536,-4.170512309,-0.039522648,-0.039502107,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.105095707,-4.170512309,-0.065416336,-0.06532322,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.113771121,-4.170512309,-0.056741238,-0.056680426,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.092959535,-4.170512309,-0.077552795,-0.07739768,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.12479115,-4.170512309,-0.045721054,-0.045689236,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.105161782,-4.170512309,-0.06535053,-0.06525765,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.091602878,-4.170512309,-0.0789094,-0.078746006,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.090383394,-4.170512309,-0.08012867,-0.07995762,c
c1ccc2c(c1)ccc(=O)o2,OCC,-4.150651677,-4.170512309,-0.019860744,-0.01985811,O
c1ccc2c(c1)ccc(=O)o2,OCC,-4.169155652,-4.170512309,-0.0013566017,-0.0013566302,o
c1ccc2c(c1)ccc(=O)o2,OCC,-3.872371575,-4.170512309,-0.29814053,-0.28961,O=c1ccc2ccccc2o1
CNC=O,OCC,-4.682504499,-5.128754469,-0.44624996,-0.4188116,C
CNC=O,OCC,-5.101427336,-5.128754469,-0.02732706,-0.027320258,N
CNC=O,OCC,-4.862917656,-5.128754469,-0.2658372,-0.25974712,C
CNC=O,OCC,-4.898294868,-5.128754469,-0.23045969,-0.22646452,O
CNC=O,OCC,-4.345105558,-5.128754469,-0.78364897,-0.6547961,CNC=O
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.277654506,-3.263899227,0.013755083,0.013754198,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.257770616,-3.263899227,-0.006128788,-0.006128732,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.334138793,-3.263899227,0.070239544,0.070124246,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.329883018,-3.263899227,0.06598377,0.06588818,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.339382524,-3.263899227,0.07548308,0.07534005,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.270334426,-3.263899227,0.006435156,0.006435052,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.332062444,-3.263899227,0.06816316,0.06805777,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.122738727,-3.263899227,-0.14116049,-0.14023027,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.31524286,-3.263899227,0.05134344,0.051298343,O
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.302679049,-3.263899227,0.038779736,0.038760304,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.277654506,-3.263899227,0.013755083,0.013754198,C
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.516258541,-3.263899227,0.25235915,0.24713503,CC12CCC(C1)C(C)(C)C2O
Cc1ccc(cc1)O,OCC,-5.346076726,-5.588865174,-0.24278879,-0.23812814,C
Cc1ccc(cc1)O,OCC,-5.020420941,-5.588865174,-0.56844425,-0.51421577,c
Cc1ccc(cc1)O,OCC,-5.134025159,-5.588865174,-0.45484018,-0.4258695,c
Cc1ccc(cc1)O,OCC,-5.0661347,-5.588865174,-0.52273035,-0.47980452,c
Cc1ccc(cc1)O,OCC,-5.051708889,-5.588865174,-0.5371566,-0.4908326,c
Cc1ccc(cc1)O,OCC,-5.0661347,-5.588865174,-0.52273035,-0.47980452,c
Cc1ccc(cc1)O,OCC,-5.134025159,-5.588865174,-0.45484018,-0.4258695,c
Cc1ccc(cc1)O,OCC,-5.611184862,-5.588865174,0.022319794,0.022316081,O
Cc1ccc(cc1)O,OCC,-3.838381943,-5.588865174,-1.7504833,-0.94143057,Cc1ccc(O)cc1
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.017747675,-3.989443157,0.028304815,0.028297236,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.000578685,-3.989443157,0.011135817,0.011135365,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.987201356,-3.989443157,-0.0022416115,-0.002241606,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.99574462,-3.989443157,0.0063016415,0.0063015763,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.987201356,-3.989443157,-0.0022416115,-0.002241606,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.000578685,-3.989443157,0.011135817,0.011135365,c
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.886120511,-3.989443157,-0.103322506,-0.10295638,C
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.877618742,-3.989443157,-0.111824274,-0.11136046,C
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.823368063,-3.989443157,-0.16607499,-0.16456483,C
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.833438194,-3.989443157,-0.1560049,-0.15475152,C
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.897355416,-3.989443157,-0.092087746,-0.09182834,O
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.015538912,-3.989443157,0.026095629,0.026089696,O
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.044860725,-3.989443157,0.055417776,0.05536114,c1ccccc1
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.526642925,-3.989443157,-0.46280003,-0.43236354,CCCC(=O)O
