mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCC(=O)O  ,OCC,-4.461839892,-4.736191425,-0.2743516,-0.26766935,C
CCCCCC(=O)O  ,OCC,-4.381986114,-4.736191425,-0.35420513,-0.34009957,C
CCCCCC(=O)O  ,OCC,-4.390562416,-4.736191425,-0.34562874,-0.33249316,C
CCCCCC(=O)O  ,OCC,-4.484973098,-4.736191425,-0.25121832,-0.24606359,O
CCCCCC(=O)O  ,OCC,-4.797518498,-4.736191425,0.061327457,0.061250713,O
CCCCCC(=O)O  ,OCC,-3.828267145,-4.736191425,-0.9079242,-0.72013444,CCCCCC(=O)O
C[C@@H](C(=O)O)N,OCC,-4.921790695,-5.317891936,-0.39610147,-0.3766083,C
C[C@@H](C(=O)O)N,OCC,-5.026381457,-5.317891936,-0.29151058,-0.2835246,C
C[C@@H](C(=O)O)N,OCC,-5.028005586,-5.317891936,-0.28988647,-0.28203034,C
C[C@@H](C(=O)O)N,OCC,-5.056222885,-5.317891936,-0.26166916,-0.25585607,O
C[C@@H](C(=O)O)N,OCC,-5.33169664,-5.317891936,0.013804436,0.013803568,O
C[C@@H](C(=O)O)N,OCC,-5.193616039,-5.317891936,-0.12427616,-0.12364029,N
C[C@@H](C(=O)O)N,OCC,-4.356257737,-5.317891936,-0.96163416,-0.7450049,C[C@H](N)C(=O)O
CCCCCCCCO,OCC,-4.401780671,-4.517070599,-0.115290165,-0.11478207,C
CCCCCCCCO,OCC,-4.393204633,-4.517070599,-0.12386608,-0.12323648,C
CCCCCCCCO,OCC,-4.373542227,-4.517070599,-0.14352846,-0.14255092,C
CCCCCCCCO,OCC,-4.388287578,-4.517070599,-0.12878323,-0.12807597,C
CCCCCCCCO,OCC,-4.347615625,-4.517070599,-0.16945505,-0.16785152,C
CCCCCCCCO,OCC,-4.373476152,-4.517070599,-0.14359474,-0.14261588,C
CCCCCCCCO,OCC,-4.313075718,-4.517070599,-0.20399523,-0.20121183,C
CCCCCCCCO,OCC,-4.193800659,-4.517070599,-0.32327032,-0.31246093,C
CCCCCCCCO,OCC,-4.503454607,-4.517070599,-0.013616085,-0.013615239,O
CCCCCCCCO,OCC,-3.481734492,-4.517070599,-1.0353363,-0.7760398,CCCCCCCCO
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.969524518,-2.940881165,0.02864337,0.028635528,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.968625366,-2.940881165,0.027744055,0.027736954,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.976447088,-2.940881165,0.035565853,0.035550877,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.980646831,-2.940881165,0.039765596,0.03974463,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.97643123,-2.940881165,0.03554988,0.035534903,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.97622349,-2.940881165,0.035342216,0.03532748,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.977081411,-2.940881165,0.036200047,0.036184233,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.981271638,-2.940881165,0.04039049,0.040368553,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.908705166,-2.940881165,-0.032176018,-0.032164913,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.924817482,-2.940881165,-0.01606369,-0.016062304,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.925182745,-2.940881165,-0.015698433,-0.015697123,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.916313334,-2.940881165,-0.024567842,-0.024562873,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.909510227,-2.940881165,-0.031371117,-0.03136081,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.941069348,-2.940881165,0.00018811226,0.00018811226,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.893430157,-2.940881165,-0.04745102,-0.04741542,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.901686919,-2.940881165,-0.039194345,-0.039174266,C
