mol solvent,mol solute,with_sme,without_sme
CCCCCCCCCCCCCCO  ,OCC,-3.683737866,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.541283084,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.779001975,-3.806205944
CCCCCCCCCCCCCCO  ,OCC,-3.049434856,-3.806205944
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.163391386,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.185351624,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.191786824,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.191786824,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.190595355,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.111162873,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.108983448,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.18753105,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.112047753,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.145686922,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.229375178,-3.16764716
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],OCC,-3.025295192,-3.16764716
c1ccc2c(c1)ccc(=O)o2,OCC,-4.16536399,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.130989536,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.105095707,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.113771121,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.092959535,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.12479115,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.105161782,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.091602878,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.090383394,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.150651677,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-4.169155652,-4.170512309
c1ccc2c(c1)ccc(=O)o2,OCC,-3.872371575,-4.170512309
CNC=O,OCC,-4.682504499,-5.128754469
CNC=O,OCC,-5.101427336,-5.128754469
CNC=O,OCC,-4.862917656,-5.128754469
CNC=O,OCC,-4.898294868,-5.128754469
CNC=O,OCC,-4.345105558,-5.128754469
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.277654506,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.257770616,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.334138793,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.329883018,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.339382524,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.270334426,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.332062444,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.122738727,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.31524286,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.302679049,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.277654506,-3.263899227
CC1(C2CCC(C2)(C1O)C)C,OCC,-3.516258541,-3.263899227
Cc1ccc(cc1)O,OCC,-5.346076726,-5.588865174
Cc1ccc(cc1)O,OCC,-5.020420941,-5.588865174
Cc1ccc(cc1)O,OCC,-5.134025159,-5.588865174
Cc1ccc(cc1)O,OCC,-5.0661347,-5.588865174
Cc1ccc(cc1)O,OCC,-5.051708889,-5.588865174
Cc1ccc(cc1)O,OCC,-5.0661347,-5.588865174
Cc1ccc(cc1)O,OCC,-5.134025159,-5.588865174
Cc1ccc(cc1)O,OCC,-5.611184862,-5.588865174
Cc1ccc(cc1)O,OCC,-3.838381943,-5.588865174
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.017747675,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.000578685,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.987201356,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.99574462,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.987201356,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.000578685,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.886120511,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.877618742,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.823368063,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.833438194,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.897355416,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.015538912,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-4.044860725,-3.989443157
C1=CC=C(C=C1)CCCC(=O)O,OCC,-3.526642925,-3.989443157
