mol solvent,mol solute,with_sme,without_sme
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.908705166,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.924817482,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.925182745,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.916313334,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.909510227,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.941069348,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.893430157,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.901686919,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.876465207,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.860127707,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.94490594,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.952541066,-2.940881165
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.937748142,-2.940881165
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.162506506,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.160327081,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.171902934,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.178031545,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.171902934,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.180210971,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.083958904,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.098599063,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.094343289,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.104727674,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.088214678,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.124611563,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.05981924,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.070203625,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.035679576,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.011539913,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.125803032,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.138366843,-3.125803032
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.046063961,-3.125803032
CCCCCCCCCCCC(=O)O  ,OCC,-3.728646299,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.754862311,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.650098961,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.671174055,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.654354471,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.663853976,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.635458802,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.691057945,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.592626717,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.612510607,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.567602174,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.516258541,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.663853976,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.691057945,-3.666918281
CCCCCCCCCCCC(=O)O  ,OCC,-3.322562939,-3.666918281
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.797193936,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.849032077,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.807233673,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.814670309,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.92343914,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.868412209,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.889237274,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.889237274,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.797193936,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.849032077,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.807233673,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.814670309,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.92343914,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.868412209,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.481422743,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.481422743,-4.935790981
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N  ,OCC,-4.843322912,-4.935790981
CCCCCCCCCCO  ,OCC,-4.170545346,-4.428695494
CCCCCCCCCCO  ,OCC,-4.319112616,-4.428695494
CCCCCCCCCCO  ,OCC,-4.368294796,-4.428695494
CCCCCCCCCCO  ,OCC,-4.3476817,-4.428695494
CCCCCCCCCCO  ,OCC,-4.324293972,-4.428695494
CCCCCCCCCCO  ,OCC,-4.332671784,-4.428695494
CCCCCCCCCCO  ,OCC,-4.308092852,-4.428695494
CCCCCCCCCCO  ,OCC,-4.33141424,-4.428695494
CCCCCCCCCCO  ,OCC,-4.278705228,-4.428695494
CCCCCCCCCCO  ,OCC,-4.218073267,-4.428695494
CCCCCCCCCCO  ,OCC,-4.460499886,-4.428695494
CCCCCCCCCCO  ,OCC,-3.355010639,-4.428695494
CCCCCCCCC(=O)O,OCC,-4.105228122,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.142339941,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.162953037,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.124989376,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.214678321,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.073330167,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.101469498,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.042387397,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.017813751,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.165529443,-4.202443036
CCCCCCCCC(=O)O,OCC,-4.225731387,-4.202443036
CCCCCCCCC(=O)O,OCC,-3.571857948,-4.202443036
CCCCCCCC(=O)O,OCC,-4.238066048,-4.340056353
CCCCCCCC(=O)O,OCC,-4.28867096,-4.340056353
CCCCCCCC(=O)O,OCC,-4.246576011,-4.340056353
CCCCCCCC(=O)O,OCC,-4.353615521,-4.340056353
CCCCCCCC(=O)O,OCC,-4.172682484,-4.340056353
CCCCCCCC(=O)O,OCC,-4.20108638,-4.340056353
CCCCCCCC(=O)O,OCC,-4.134648783,-4.340056353
CCCCCCCC(=O)O,OCC,-4.132142681,-4.340056353
CCCCCCCC(=O)O,OCC,-4.25020222,-4.340056353
CCCCCCCC(=O)O,OCC,-4.359784834,-4.340056353
CCCCCCCC(=O)O,OCC,-3.666918281,-4.340056353
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.675429829,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.700454373,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.656533896,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.740222152,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.700454373,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.55602632,-3.678494135
CCCCCCC(=O)O  ,OCC,-4.388023277,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.39686388,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.506036034,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.329211027,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.315585784,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.253861467,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.242982839,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.359850909,-4.496605512
CCCCCCC(=O)O  ,OCC,-4.550012278,-4.496605512
CCCCCCC(=O)O  ,OCC,-3.767426122,-4.496605512
CCCCCCCCCC(=O)O ,OCC,-4.001847594,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.064555904,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.064688054,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.081741281,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.032575488,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.129906166,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-3.987036168,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.015307649,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-3.955171516,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-3.946364215,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.087811217,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-4.113870234,-4.094009603
CCCCCCCCCC(=O)O ,OCC,-3.508938461,-4.094009603
CCCCCCCCCCCCO,OCC,-4.24037366,-4.214744396
CCCCCCCCCCCCO,OCC,-4.255416613,-4.214744396
CCCCCCCCCCCCO,OCC,-3.92161983,-4.214744396
CCCCCCCCCCCCO,OCC,-4.088075782,-4.214744396
CCCCCCCCCCCCO,OCC,-4.140586568,-4.214744396
CCCCCCCCCCCCO,OCC,-4.113738084,-4.214744396
CCCCCCCCCCCCO,OCC,-4.105294197,-4.214744396
CCCCCCCCCCCCO,OCC,-4.119907397,-4.214744396
CCCCCCCCCCCCO,OCC,-4.108721916,-4.214744396
CCCCCCCCCCCCO,OCC,-4.125973368,-4.214744396
CCCCCCCCCCCCO,OCC,-4.090383394,-4.214744396
CCCCCCCCCCCCO,OCC,-3.966158507,-4.214744396
CCCCCCCCCCCCO,OCC,-4.177764727,-4.214744396
CCCCCCCCCCCCO,OCC,-3.177146665,-4.214744396
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.845580708,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.960055533,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.874034028,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.831974231,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.840419968,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.850476884,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.862617284,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.913051722,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.798885865,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.831982424,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.845580708,-3.914317723
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.550782589,-3.914317723
c1ccc(cc1)CCC(=O)O,OCC,-4.081906469,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.084383233,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.076758151,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.946281489,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.076758151,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.084383233,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.941331396,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.885914092,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.873819152,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.968664608,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.080417662,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-4.094075678,-4.054589908
c1ccc(cc1)CCC(=O)O,OCC,-3.617754338,-4.054589908
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.64397035,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.401110541,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.39586681,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.475299292,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.384290957,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.671174055,-3.39586681
C[N+](C)(C)CC=C.[Cl-],OCC,-3.477478718,-3.39586681
C(CO)N ,OCC,-4.877552529,-5.382592811
C(CO)N ,OCC,-4.993894376,-5.382592811
C(CO)N ,OCC,-5.197654822,-5.382592811
C(CO)N ,OCC,-5.4065472,-5.382592811
C(CO)N ,OCC,-4.332737859,-5.382592811
CCNC=O,OCC,-4.705568987,-5.07651512
CCNC=O,OCC,-4.803172953,-5.07651512
CCNC=O,OCC,-5.070534782,-5.07651512
CCNC=O,OCC,-4.888365081,-5.07651512
CCNC=O,OCC,-4.926760082,-5.07651512
CCNC=O,OCC,-4.486686825,-5.07651512
CCNC=O,OCC,-4.812700474,-5.07651512
CCCCCCCCCCC(=O)O,OCC,-3.910947622,-3.821102475
