smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
COc2c1ccccc1ncc2,18.72060625,22.17766793,56.31694994,6.94672659,45.44170619,76.04553856,38.2157282,15.79250389,21.24373997,95.84987013,90.11242867,21.34962516,7.524986044,0,0,0,0
COc2c1ncccc1ccc2,19.6020806,17.75843094,39.99761373,14.01271971,35.43278666,77.0894256,45.00065043,17.11612698,21.33807077,92.94542766,98.76434614,10.33680114,7.091360117,5.490085252,0.986499694,0,0
COc2cc1ccccc1cc2,16.45255844,17.93429922,72.24963881,2.140919,47.97058853,75.14015685,43.09006312,14.83945375,22.00342554,97.99499374,116.4913524,6.612983837,0,0,0,0,0
COc2cc1CCCNc1cc2,15.77487431,27.10130423,67.47004274,6.747173202,42.67906867,78.16998459,49.85523118,11.20763444,23.07043801,129.7377186,72.71156668,26.90156072,0.54433403,0,0,0,0
COc2cc1cccnc1cc2,18.17649582,19.37188478,58.37545404,6.034815712,44.65299968,76.53390477,40.325085,16.89739896,21.34503025,92.48609158,104.4821955,13.200014,5.5035889,0,0,0,0
COCC(=O)c1ccccc1,22.61795178,23.09710402,39.12357303,13.10720106,33.83925017,80.9398724,56.05565926,19.66486672,21.52476839,89.93880258,85.4031081,21.90338537,11.25311542,7.291559482,1.363579037,0,0
CSC(C)(C)CC(C)=O,16.69250032,15.62380081,56.75372563,15.41755071,31.43244997,86.58083527,54.64721822,14.23299153,21.14939462,116.4129676,79.68133514,7.062152232,10.90272506,0,0,0,0
FB(F)c(cc1)ccc1C,17.19825637,43.16263895,73.10211943,7.247675305,46.61080056,82.24648328,53.24877076,16.75119207,18.11683183,91.23692735,75.60438798,20.25445653,1.201415775,0.763252374,0,0,0
FC(C)(C)C(F)(C)C,16.54847336,15.8748672,67.95771054,8.212673181,36.25137856,86.32587326,54.75117495,13.71411906,16.59578543,95.07411591,57.290424,24.15725009,0,0,0,0,0
Fc(cc1F)cc(C)c1F,13.848364,21.5485187,80.7940415,3.541702999,50.30700235,79.73835344,45.32433667,15.07072557,15.82226462,82.79628274,78.95142602,8.397611242,0,0,0,0,0
Fc(cc1F)cc(F)c1C,10.28320407,19.36247588,86.03916392,4.783513921,51.06000466,84.31249907,46.10946119,10.72609605,15.73791509,111.9744986,53.77235375,3.703137667,0,0,0,0,0
Fc(cc1F)cc(F)c1F,14.58629445,25.67238124,85.86110485,4.709259284,55.32172934,80.14426182,52.1315153,13.74658766,13.53977854,90.13424228,49.07882927,12.11671845,0,0,0,0,0
