smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
ClCC=CCl,13.81849203,22.65483579,83.86935849,3.072060367,55.90605425,82.02060153,37.3481928,17.48365308,10.46894045,7.472180858,12.86241114,7.948853013,0,0,0,0,0
ClCC(=C)Cl,16.39474671,23.01779198,80.84586909,2.608392932,56.0798636,79.0104123,33.800866,19.73014039,10.44727594,6.311248516,14.40810252,11.42705408,0,0,0,0,0
ClCCCC,13.91958527,14.17460461,81.9685716,5.361238974,39.13321907,85.41152301,57.09934513,13.12086168,11.81484873,8.268620734,16.64497277,0,0,0,0,0,0
Cl[C@@H](CC)C,13.79961433,13.12956613,81.56489763,4.903980914,39.32122125,83.37526306,56.15325952,12.62012311,11.63704547,8.34048009,16.06921788,0,0,0,0,0,0
ClCC(C)C,12.59770222,14.01656521,82.22289659,4.652432739,41.81163112,85.36987308,51.88358838,13.19133812,11.60274181,8.247536173,16.20794212,0,0,0,0,0,0
ClC(C)(C)C,13.06881374,12.7174673,81.66939831,5.100943387,39.68613717,83.36646695,53.43903635,11.30746748,11.43850934,8.952052451,14.18362911,0,0,0,0,0,0
ClCCCCCl,14.73204107,16.15381843,85.43791268,0.942450065,47.96585443,80.22071062,56.20476308,16.66581707,13.19386699,7.231145522,22.23342321,0,0,0,0,0,0
ClC(=C)C=C,12.26789323,18.65748824,86.53961956,3.035489721,55.96298081,80.44192691,37.22022276,12.44764907,10.06670773,8.486742466,11.24868271,2.726388784,0,0,0,0,0
ClCCCCC,10.91660194,14.07825071,81.95182828,6.653445792,41.22299411,89.69841053,50.2114331,10.99570775,14.39704112,11.46744798,15.08422587,0,0,0,0,0,0
ClC(CC)(C)C,11.21027859,12.32267334,81.30457858,6.534529079,39.01547112,88.19647651,51.39294495,10.35457564,13.5057454,11.29671885,13.4398637,0,0,0,0,0,0
ClCCC(C)C,10.58895703,14.10356273,82.39712655,6.095036792,41.70815086,89.88022559,48.72040539,11.57853254,13.80016386,10.90839192,15.02317044,0,0,0,0,0,0
ClC(Cl)CCCC,12.57934622,22.04024585,81.00759815,5.07229203,48.25294707,83.3627229,49.5328944,13.43210098,15.7510977,11.50616175,16.75613654,4.169062655,0,0,0,0,0
